"","PlayerId","GPsec","PlayerName","GP"
"232",8470061,32,"Derek Meech",38
"233",8470201,81,"Jiri Hudler",81
"234",8470318,8,"Jonathan Ericsson",77
"235",8470657,4,"Jimmy Howard",58
"236",8470724,6,"Kyle Quincey",72
"237",8471011,2,"Garrett Stafford",71
"238",8471187,78,"Brett Lebda",78
"239",8471309,72,"Johan Franzen",72
"240",8471668,2,"Mattias Ritola",74
"241",8471716,2,"Justin Abdelkader",44
"242",8471794,7,"Darren Helm",74
"243",8451224,65,"Mathieu Schneider",65
"244",8457261,61,"Brad May",61
"245",8457981,26,"Teemu Selanne",35
"246",8458517,48,"Scott Niedermayer",48
"247",8458637,82,"Sean O'Donnell",82
"248",8459424,72,"Chris Pronger",72
"249",8459427,78,"Rob Niedermayer",78
"250",8459444,68,"Todd Bertuzzi",68
"251",8459587,75,"Todd Marchant",75
"252",8462044,58,"Jean-Sebastien Giguere",58
"253",8465192,56,"Samuel Pahlsson",56
"254",8467323,17,"Mark Mowers",27
"255",8467387,23,"Joe Dipenta",23
"256",8467400,82,"Francois Beauchemin",82
"257",8467478,76,"Kent Huskins",76
"258",8468095,69,"George Parros",69
"259",8468635,77,"Travis Moen",77
"260",8469615,4,"Maxim Kondratiev",27
"261",8469656,4,"Jason King",69
"262",8470543,82,"Chris Kunitz",91
"263",8470612,77,"Ryan Getzlaf",86
"264",8470621,70,"Corey Perry",70
"265",8470778,26,"Drew Miller",57
"266",8470882,5,"Geoff Platt",80
"267",8471676,23,"Bobby Ryan",71
"268",8473494,3,"Petteri Wirtanen",81
"269",8473646,34,"Ryan Carter",47
"270",8473682,3,"Andrew Ebbett",77
"271",8473972,23,"Jonas Hiller",32
"272",8451101,44,"Joe Sakic",44
"273",8458520,9,"Peter Forsberg",9
